CRIMETYPE,BEGDATE,X,Y,time,difftime
OTH,1/1/09 0:00,6508170.2,1866686.5,39814,0.283669999
AGG,1/1/09 0:00,6456825,1918614.4,39814,0.284523453
OTH,1/1/09 0:00,6453008.1,1839530.2,39814,0.284609123
OTH,1/1/09 0:00,6447055.7,1844471.3,39814,0.285028511
OTH,1/1/09 0:00,6465594,1816628.7,39814,0.285236155
OTH,1/1/09 0:00,6434891.6,1884046.4,39814,0.285352241
OTH,1/1/09 0:00,6478945.1,1825888.7,39814,0.286264415
OTH,1/1/09 0:00,6421908.2,1878698.2,39814,0.286752538
ROBB,1/1/09 0:00,6469560.101,1846325.707,39814,0.286900378
OTH,1/1/09 0:00,6460886,1831424.4,39814,0.28753316
OTH,1/1/09 0:00,6437498.781,1888870.011,39814,0.287824118
AGG,1/1/09 0:00,6485437.193,1822857.391,39814,0.28805129
OTH,1/1/09 0:00,6445699.4,1897628.9,39814,0.288500987
OTH,1/1/09 0:00,6439184.588,1843026.333,39814,0.289149489
BURG,1/1/09 0:00,6489997.8,1798823.5,39814,0.289326985
OTH,1/1/09 0:00,6494108.1,1857175.8,39814,0.29040351
OTH,1/1/09 0:00,6387358.3,1903822.8,39814,0.290771846
OTH,1/1/09 0:00,6479354.6,1797333.7,39814,0.291252914
OTH,1/1/09 0:00,6380428.6,1905650.8,39814,0.291399289
THEFT,1/1/09 0:00,6461829.6,1859460.8,39814,0.292320338
OTH,1/1/09 0:00,6505356.8,1866813.9,39814,0.29266316
OTH,1/1/09 0:00,6447357.146,1886235.116,39814,0.292698205
OTH,1/1/09 0:00,6470739.3,1855178.1,39814,0.292924795
OTH,1/1/09 0:00,6401881.5,1921774.4,39814,0.293138955
OTH,1/1/09 0:00,6500427.8,1838468.9,39814,0.29321649
OTH,1/1/09 0:00,6407233.1,1885723.2,39814,0.293622202
OTH,1/1/09 0:00,6420641.7,1843077.3,39814,0.295306288
OTH,1/1/09 0:00,6470180.2,1859808.4,39814,0.295854887
VAND,1/1/09 0:00,6471437.5,1844993.997,39814,0.297260673
OTH,1/1/09 0:00,6457163.6,1838415.3,39814,0.297573545
BURG,1/1/09 0:00,6427763.5,1835093.7,39814,0.298560792
BTFV,1/1/09 0:00,6465069.9,1830438.3,39814,0.300367839
OTH,1/1/09 0:00,6510662.9,1856773.7,39814,0.301725734
OTH,1/1/09 0:00,6442811.5,1838685.1,39814,0.301887686
AGG,1/1/09 0:00,6467814,1828879.6,39814,0.302073248
OTH,1/1/09 0:00,6468354.3,1846213.3,39814,0.302111218
OTH,1/1/09 0:00,6393050,1904019.8,39814,0.302130395
OTH,1/1/09 0:00,6382472.4,1898954.4,39814,0.302992464
OTH,1/1/09 0:00,6501462.6,1842931.7,39814,0.303177302
ROBB,1/1/09 0:00,6501199.504,1862162.122,39814,0.303646759
OTH,1/1/09 0:00,6480650.7,1803059.4,39814,0.304086264
OTH,1/1/09 0:00,6428296.578,1895873.107,39814,0.305371353
OTH,1/1/09 0:00,6425996,1901011.004,39814,0.30644161
OTH,1/1/09 0:00,6462610,1851375.7,39814,0.306456808
OTH,1/1/09 0:00,6464843.7,1844471.1,39814,0.306929113
OTH,1/1/09 0:00,6402208.171,1903153.886,39814,0.307270389
ROBB,1/1/09 0:00,6481451.998,1743454.504,39814,0.307731593
OTH,1/1/09 0:00,6461851.3,1824707.6,39814,0.308286114
OTH,1/1/09 0:00,6465671,1823927.8,39814,0.308494865
BTFV,1/1/09 0:00,6486222.537,1796834.699,39814,0.308754066
OTH,1/1/09 0:00,6475357.4,1860361.2,39814,0.308894711
OTH,1/1/09 0:00,6457909.955,1856926.021,39814,0.30956983
AGG,1/1/09 0:00,6470386,1721478.8,39814,0.311141551
OTH,1/1/09 0:00,6455029.3,1845212.4,39814,0.311490012
THEFT,1/1/09 0:00,6494407.2,1838807.8,39814,0.311679967
THEFT,1/1/09 0:00,6448647.8,1809285.9,39814,0.31213299
BTFV,1/1/09 0:00,6477597.5,1858584.6,39814,0.313709636
